data,pedido_id,cliente,cidade,estado,regiao,produto,categoria,vendedor,canal_venda,quantidade,preco_unitario,custo_unitario,status_pagamento
2025-11-24,PED-00001,Cliente 115,Natal,RN,Nordeste,Mouse Sem Fio,Acessórios,Bruno Costa,Loja física,5,119.62,69.43,Pago
2025-10-30,PED-00002,Cliente 112,Natal,RN,Nordeste,Headset Premium,Acessórios,Bruno Costa,Representante,1,499.9,288.89,Cancelado
2025-11-29,PED-00003,Cliente 230,Florianópolis,SC,Sul,Armário Escritório,Móveis,Fernanda Alves,WhatsApp,7,878.45,524.19,Pago
2025-12-24,PED-00004,Cliente 111,Rio de Janeiro,RJ,Sudeste,Headset Premium,Acessórios,Carla Souza,Loja física,5,474.94,274.58,Pago
2025-11-06,PED-00005,Cliente 194,Natal,RN,Nordeste,Cadeira Office,Móveis,Ana Lima,Representante,8,969.53,633.88,Pago
2025-10-23,PED-00006,Cliente 117,Goiânia,GO,Centro-Oeste,Monitor 27,Eletrônicos,Carla Souza,Loja física,2,1516.02,1044.01,Pago
2025-05-23,PED-00007,Cliente 190,Brasília,DF,Centro-Oeste,Smartphone X,Eletrônicos,Carla Souza,E-commerce,6,3697.26,2827.44,Cancelado
2025-11-28,PED-00008,Cliente 084,Porto Alegre,RS,Sul,Mouse Sem Fio,Acessórios,Diego Rocha,Marketplace,3,114.89,69.67,Cancelado
2025-10-13,PED-00009,Cliente 118,Brasília,DF,Centro-Oeste,Monitor 27,Eletrônicos,Ana Lima,WhatsApp,6,1450.17,957.74,Pendente
2026-03-25,PED-00010,Cliente 203,Rio de Janeiro,RJ,Sudeste,Armário Escritório,Móveis,Lucas Martins,Marketplace,4,720.49,532.09,Cancelado
2025-10-15,PED-00011,Cliente 186,São Paulo,SP,Sudeste,Webcam Full HD,Acessórios,Bruno Costa,E-commerce,7,236.56,137.2,Pago
2026-03-17,PED-00012,Cliente 306,Fortaleza,CE,Nordeste,Mouse Sem Fio,Acessórios,Ana Lima,Marketplace,3,107.8,70.17,Pendente
2025-05-09,PED-00013,Cliente 175,Natal,RN,Nordeste,Webcam Full HD,Acessórios,Ana Lima,WhatsApp,2,247.86,142.79,Cancelado
2026-03-25,PED-00014,Cliente 153,São Paulo,SP,Sudeste,Armário Escritório,Móveis,Lucas Martins,Representante,3,888.18,532.88,Pago
2025-10-04,PED-00015,Cliente 010,Natal,RN,Nordeste,Webcam Full HD,Acessórios,Ana Lima,WhatsApp,6,231.58,148.61,Pago
2025-05-03,PED-00016,Cliente 249,Salvador,BA,Nordeste,Notebook Pro 14,Eletrônicos,Ana Lima,Representante,2,4353.65,3050.78,Pago
2025-10-09,PED-00017,Cliente 277,São Paulo,SP,Sudeste,Teclado Mecânico,Acessórios,Lucas Martins,E-commerce,7,350.12,212.92,Cancelado
2025-11-29,PED-00018,Cliente 127,Curitiba,PR,Sul,Mesa Gamer,Móveis,Bruno Costa,Loja física,8,1242.26,817.42,Pago
2025-10-29,PED-00019,Cliente 118,Natal,RN,Nordeste,Monitor 27,Eletrônicos,Ana Lima,Loja física,2,1516.65,958.24,Pago
